,region,Year,Born,Died,Diff,Born_,Died_,Diff_
857,Хабаровский край,2010,17407,19611,-2204,"12,9","14,6","-1,7"
858,Амурская область,1970,14350,6058,8292,18,"7,6","10,4"
859,Амурская область,1980,18735,9261,9474,"19,7","9,7",10
860,Амурская область,1990,17087,9051,8036,"16,2","8,6","7,6"
861,Амурская область,1995,10533,12431,-1898,"10,6","12,5","-1,9"
862,Амурская область,2000,9433,13532,-4099,"10,2","14,6","-4,4"
863,Амурская область,2005,10659,14959,-4300,"12,1","16,9","-4,8"
864,Амурская область,2006,10391,13635,-3244,"11,8","15,5","-3,7"
865,Амурская область,2007,10956,12479,-1523,"12,6","14,3","-1,7"
866,Амурская область,2008,11218,13099,-1881,"12,9","15,1","-2,2"
867,Амурская область,2009,11397,12629,-1232,"13,2","14,6","-1,4"
868,Амурская область,2010,11479,12740,-1261,"13,8","15,3","-1,5"
869,Магаданская область,1970,4170,1423,2747,"16,3","5,6","10,7"
870,Магаданская область,1980,5804,2205,3599,"16,9","6,4","10,5"
871,Магаданская область,1990,5282,2179,3103,"13,6","5,6",8
872,Магаданская область,1995,2234,2927,-693,"8,8","11,5","-2,7"
873,Магаданская область,2000,1925,2345,-420,"9,7","11,8","-2,1"
874,Магаданская область,2005,1908,2357,-449,11,"13,6","-2,6"
875,Магаданская область,2006,1820,2242,-422,"10,7","13,2","-2,5"
876,Магаданская область,2007,1825,2205,-380,"10,9","13,2","-2,3"
877,Магаданская область,2008,1786,2263,-477,"10,9","13,8","-2,9"
878,Магаданская область,2009,1960,2164,-204,"12,1","13,3","-1,2"
879,Магаданская область,2010,1807,2052,-245,"11,5",13,"-1,5"
880,Сахалинская область,1970,10485,4167,6318,17,"6,8","10,2"
881,Сахалинская область,1980,11332,5931,5401,"17,1",9,"8,1"
882,Сахалинская область,1990,10114,5811,4303,"14,2","8,1","6,1"
883,Сахалинская область,1995,5873,11238,-5365,"9,1","17,4","-8,3"
884,Сахалинская область,2000,5210,7547,-2337,"9,2","13,4","-4,2"
885,Сахалинская область,2005,6010,9212,-3202,"11,4","17,4",-6
886,Сахалинская область,2006,5860,7862,-2002,"11,2",15,"-3,8"
887,Сахалинская область,2007,6123,7364,-1241,"11,8","14,2","-2,4"
888,Сахалинская область,2008,6344,7470,-1126,"12,3","14,5","-2,2"
889,Сахалинская область,2009,6196,7419,-1223,"12,1","14,5","-2,4"
890,Сахалинская область,2010,6016,7422,-1406,"12,1","14,9","-2,8"
891,Еврейская автономная область,1970,3248,1341,1907,"18,7","7,7",11
892,Еврейская автономная область,1980,3976,1890,2086,"20,8","9,9","10,9"
893,Еврейская автономная область,1990,3897,2091,1806,"17,8","9,6","8,2"
894,Еврейская автономная область,1995,2308,2868,-560,"11,1","13,8","-2,7"
895,Еврейская автономная область,2000,1883,2817,-934,"9,7","14,5","-4,8"
896,Еврейская автономная область,2005,2172,3365,-1193,"11,6","17,9","-6,3"
897,Еврейская автономная область,2006,2260,2978,-718,"12,1",16,"-3,9"
898,Еврейская автономная область,2007,2418,2794,-376,13,"15,1","-2,1"
899,Еврейская автономная область,2008,2587,2838,-251,"13,9","15,3","-1,4"
900,Еврейская автономная область,2009,2438,2739,-301,"13,2","14,8","-1,6"
901,Еврейская автономная область,2010,2408,2736,-328,"13,6","15,5","-1,9"
902,Чукотский автономный округ,1970,1751,599,1152,"16,9","5,8","11,1"
903,Чукотский автономный округ,1980,2208,653,1555,"16,1","4,7","11,4"
904,Чукотский автономный округ,1990,2208,598,1610,"13,8","3,7","10,1"
905,Чукотский автономный округ,1995,935,816,119,"10,4","9,1","1,3"
906,Чукотский автономный округ,2000,686,570,116,"11,5","9,6","1,9"
907,Чукотский автономный округ,2005,795,597,198,"15,7","11,8","3,9"
908,Чукотский автономный округ,2006,771,585,186,"15,3","11,6","3,7"
909,Чукотский автономный округ,2007,801,595,206,"15,9","11,8","4,1"
910,Чукотский автономный округ,2008,751,620,131,"15,1","12,4","2,7"
911,Чукотский автономный округ,2009,695,640,55,"14,2",13,"1,2"
912,Чукотский автономный округ,2010,746,698,48,"14,7","13,8","0,9"
